Timestamp,Which of the following best describes your area of expertise?,"How would you rate your level of expertise in the field of Machine Learning?
",Have you ever loaded a pre-trained machine learning model onto your system or computer that was shared by someone else or downloaded from the internet?,"Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? 

Note: This question also includes the process of importing the model definition or code provided by the same source from which you downloaded the model weights.","If you feel that the previous situation raises any concerns, which one(s)?","Have you ever inspected a shared model file before loading it?

This means performing actions such as unzipping the file (if required by the format), understanding the files it contains, reviewing their contents, and evaluating the internals of the model before loading it into your system.","Knowing that platforms like Hugging Face provide security tools for their repositories, including malware scanning, pickle scanning, secrets scanning, and third-party AI model scanners such as JFrog and Protect AI—if the shared model you were to load was downloaded from such platforms, would your perception of comfort in doing so change?","If you feel that the previous situation raises any concerns, which one(s)?"
7/5/2025 10:05:54,Machine Learning / Artificial Intelligence,2,Yes,5,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",6,"Poor performance, Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",6,"Poor performance, Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",5,"Poor performance, Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",No,I would feel more comfortable loading the model,"Poor performance, Manipulated training process, Licensing, Challenging to ensure ethical AI compliance"
7/5/2025 10:19:59,Machine Learning / Artificial Intelligence,3,Yes,1,Arbitrary code execution,4,Manipulated training process,1,Arbitrary code execution,3,Manipulated training process,Yes,I would feel more comfortable loading the model,"Manipulated training process, Arbitrary code execution"
7/5/2025 10:50:08,Software Engineering,4,Yes,4,Arbitrary code execution,10,,10,,2,"Manipulated training process, Arbitrary code execution",Yes,I would feel more comfortable loading the model,
7/5/2025 11:43:29,Software Engineering,2,Yes,2,Arbitrary code execution,8,Manipulated training process,3,Arbitrary code execution,1,Arbitrary code execution,No,I would feel more comfortable loading the model,
7/5/2025 19:37:15,Software Engineering,3,Yes,6,"Manipulated training process, Arbitrary code execution",7,Manipulated training process,6,"Manipulated training process, Arbitrary code execution",7,Manipulated training process,Yes,I would feel more comfortable loading the model,"Manipulated training process, Arbitrary code execution"
7/6/2025 14:59:06,Software Engineering,2,Yes,8,Licensing,8,Licensing,7,Licensing,7,Licensing,No,It would not affect my perception,Licensing
7/7/2025 7:56:58,Cybersecurity,4,Yes,2,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",9,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",7,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",8,"Poor performance, Manipulated training process",No,I would feel less comfortable loading the model,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance"
7/7/2025 11:56:39,Machine Learning / Artificial Intelligence,2,Yes,3,Arbitrary code execution,9,,4,Manipulated training process,8,,No,I would feel more comfortable loading the model,
7/7/2025 15:32:42,Cybersecurity,2,No,3,Arbitrary code execution,9,,7,Manipulated training process,4,Manipulated training process,No,I would feel more comfortable loading the model,
7/7/2025 17:00:08,Machine Learning / Artificial Intelligence,5,Yes,7,"Poor performance, Manipulated training process, Arbitrary code execution",10,"Poor performance, Manipulated training process",8,"Poor performance, Manipulated training process, Arbitrary code execution",10,"Poor performance, Manipulated training process",No,I would feel more comfortable loading the model,Poor performance
7/7/2025 17:05:42,Machine Learning / Artificial Intelligence,4,Yes,3,Arbitrary code execution,10,,3,Arbitrary code execution,10,,No,It would not affect my perception,"Would remain the same because I have no control on the amount of security other companies (e.g., HuggingFace) are applying)"
7/7/2025 17:54:47,Machine Learning / Artificial Intelligence,4,Yes,3,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing",3,"Poor performance, Manipulated training process, Licensing, Challenging to ensure ethical AI compliance, ",9,,7,,No,It would not affect my perception,duno
7/7/2025 17:55:13,Software Engineering,3,Yes,2,Arbitrary code execution,8,,2,Arbitrary code execution,5,"Arbitrary code execution, Licensing",Yes,I would feel more comfortable loading the model,Arbitrary code execution
7/8/2025 10:50:10,Machine Learning / Artificial Intelligence,4,Yes,7,Manipulated training process,7,"Poor performance, Manipulated training process",7,"Poor performance, Manipulated training process",8,"Poor performance, Manipulated training process",No,I would feel more comfortable loading the model,
7/8/2025 15:02:00,Cybersecurity,3,Yes,6,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",6,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",6,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",4,"Poor performance, Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",No,It would not affect my perception,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance"
7/8/2025 17:08:34,Data Science,3,No,2,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",2,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",2,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",8,"Poor performance, Manipulated training process, Arbitrary code execution",Yes,It would not affect my perception,"Poor performance, Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance"
7/9/2025 12:18:11,Cybersecurity,4,No,3,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",4,"Manipulated training process, Challenging to ensure ethical AI compliance",5,"Poor performance, Manipulated training process, Challenging to ensure ethical AI compliance",6,Manipulated training process,No,I would feel more comfortable loading the model,Challenging to ensure ethical AI compliance
7/9/2025 12:31:24,Machine Learning / Artificial Intelligence,4,Yes,5,"Manipulated training process, Arbitrary code execution",6,,4,"Manipulated training process, Arbitrary code execution",7,,No,I would feel more comfortable loading the model,
7/9/2025 12:41:55,Machine Learning / Artificial Intelligence,5,Yes,7,"Poor performance, Arbitrary code execution",10,Poor performance,10,Poor performance,10,Poor performance,No,It would not affect my perception,Poor performance
7/9/2025 12:43:56,Cybersecurity,3,No,1,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",6,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",1,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",4,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",No,I would feel more comfortable loading the model,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance"
7/9/2025 12:52:45,Machine Learning / Artificial Intelligence,4,Yes,2,"Manipulated training process, Arbitrary code execution, Challenging to ensure ethical AI compliance",7,"Manipulated training process, Challenging to ensure ethical AI compliance",7,Challenging to ensure ethical AI compliance,4,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",No,I would feel more comfortable loading the model,Challenging to ensure ethical AI compliance
7/9/2025 13:22:06,Cybersecurity,3,Yes,4,Arbitrary code execution,8,,5,Arbitrary code execution,8,,No,I would feel more comfortable loading the model,
7/9/2025 13:29:39,Cybersecurity,4,Yes,8,"Poor performance, Arbitrary code execution",8,Poor performance,8,"Poor performance, Manipulated training process",8,"Manipulated training process, Arbitrary code execution",Yes,It would not affect my perception,Manipulated training process
7/9/2025 14:06:08,Machine Learning / Artificial Intelligence,3,Yes,3,Arbitrary code execution,8,Arbitrary code execution,2,Arbitrary code execution,2,Arbitrary code execution,Yes,I would feel more comfortable loading the model,
7/9/2025 14:17:10,Robotics / Control Systems / Automation,1,Yes,3,Arbitrary code execution,7,"Licensing, Challenging to ensure ethical AI compliance",3,Arbitrary code execution,7,"Licensing, Challenging to ensure ethical AI compliance",No,I would feel more comfortable loading the model,
7/9/2025 14:18:16,Machine Learning / Artificial Intelligence,4,Yes,2,Arbitrary code execution,8,,3,Arbitrary code execution,8,,No,It would not affect my perception,
7/9/2025 14:21:17,Machine Learning / Artificial Intelligence,5,Yes,2,"Poor performance, Manipulated training process, Arbitrary code execution",9,Licensing,3,"Poor performance, Manipulated training process, Arbitrary code execution",9,Licensing,Yes,It would not affect my perception,Poor performance
7/9/2025 14:22:51,Cybersecurity,4,No,2,Arbitrary code execution,8,Manipulated training process,2,Arbitrary code execution,8,Manipulated training process,No,I would feel more comfortable loading the model,"Manipulated training process, Licensing"
7/9/2025 14:27:55,Machine Learning / Artificial Intelligence,4,Yes,2,Arbitrary code execution,8,"Poor performance, Licensing",2,Arbitrary code execution,8,"Poor performance, Licensing",Yes,It would not affect my perception,"Poor performance, Arbitrary code execution, Licensing"
7/9/2025 14:29:19,Machine Learning / Artificial Intelligence,5,Yes,8,Arbitrary code execution,9,,9,,9,,No,It would not affect my perception,
7/9/2025 14:38:19,Machine Learning / Artificial Intelligence,3,Yes,5,"Poor performance, Arbitrary code execution",6,"Poor performance, Arbitrary code execution",5,"Poor performance, Arbitrary code execution",7,"Manipulated training process, Arbitrary code execution",Yes,I would feel more comfortable loading the model,"Manipulated training process, Arbitrary code execution"
7/9/2025 14:59:01,Machine Learning / Artificial Intelligence,3,Yes,2,"Manipulated training process, Arbitrary code execution",10,"Manipulated training process, Arbitrary code execution",10,,5,,No,I would feel more comfortable loading the model,
7/9/2025 15:11:19,Machine Learning / Artificial Intelligence,5,Yes,3,Arbitrary code execution,6,Arbitrary code execution,3,Arbitrary code execution,5,Arbitrary code execution,No,I would feel more comfortable loading the model,Arbitrary code execution
7/9/2025 15:29:45,Software Engineering,1,Yes,7,Manipulated training process,10,,6,Manipulated training process,8,,No,I would feel more comfortable loading the model,
7/9/2025 15:54:30,Cybersecurity,3,Yes,1,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",4,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",1,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",5,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",Yes,It would not affect my perception,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance"
7/9/2025 16:07:40,Machine Learning / Artificial Intelligence,4,No,1,Arbitrary code execution,5,"safa_model=True is the default option, so why repeating it? (maybe a trick to provide a false sense of security?)",1,Arbitrary code execution,1,Arbitrary code execution,No,It would not affect my perception,Arbitrary code execution
7/9/2025 16:34:54,Machine Learning / Artificial Intelligence,4,Yes,3,Arbitrary code execution,10,,8,,10,,No,I would feel more comfortable loading the model,Arbitrary code execution
7/9/2025 18:49:19,Machine Learning / Artificial Intelligence,3,Yes,7,,8,,8,,6,"Poor performance, Manipulated training process",Yes,I would feel more comfortable loading the model,Licensing
7/9/2025 19:52:36,Machine Learning / Artificial Intelligence,4,Yes,6,Arbitrary code execution,10,,7,Arbitrary code execution,10,,No,I would feel more comfortable loading the model,
7/9/2025 22:17:42,Machine Learning / Artificial Intelligence,5,Yes,6,Arbitrary code execution,8,"Poor performance, Challenging to ensure ethical AI compliance",7,"Poor performance, Challenging to ensure ethical AI compliance",9,"Poor performance, Challenging to ensure ethical AI compliance",No,I would feel more comfortable loading the model,"Manipulated training process, Arbitrary code execution"
7/10/2025 8:51:36,Machine Learning / Artificial Intelligence,4,Yes,4,"Arbitrary code execution, security vulnerabilities",7,"Poor performance, Manipulated training process, Challenging to ensure ethical AI compliance",4,Arbitrary code execution,4,"Manipulated training process, Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance",Yes,I would feel more comfortable loading the model,"Arbitrary code execution, Licensing, Challenging to ensure ethical AI compliance"
7/10/2025 10:02:54,Robotics / Control Systems / Automation,3,Yes,4,,6,,3,Arbitrary code execution,9,,No,I would feel more comfortable loading the model,
7/10/2025 10:24:52,Machine Learning / Artificial Intelligence,4,Yes,5,Arbitrary code execution,8,,7,Arbitrary code execution,9,,No,I would feel more comfortable loading the model,
7/10/2025 17:33:42,Machine Learning / Artificial Intelligence,4,Yes,5,Arbitrary code execution,8,,6,Arbitrary code execution,8,,No,I would feel more comfortable loading the model,
7/10/2025 19:02:14,Machine Learning / Artificial Intelligence,4,Yes,3,Arbitrary code execution,8,,8,,9,,Yes,I would feel more comfortable loading the model,
7/11/2025 12:55:00,Machine Learning / Artificial Intelligence,2,Yes,4,"Manipulated training process, Arbitrary code execution",10,,6,Manipulated training process,10,,No,I would feel more comfortable loading the model,
7/16/2025 8:15:18,Data Science,4,No,7,"Poor performance, Manipulated training process, Arbitrary code execution",7,"Poor performance, Manipulated training process, Arbitrary code execution",7,"Poor performance, Manipulated training process, Arbitrary code execution",7,"Poor performance, Manipulated training process, Arbitrary code execution",No,I would feel more comfortable loading the model,"Poor performance, Manipulated training process, Arbitrary code execution"
